Cruise,Station,Depth,Bottle,Timepoint,Treatment,Treatment_Btl,Hours,cellsperL,sd_cellsperL,p_cellsperL,p_sdcellsperL
AT34,3,10,SA,13,Control,Control-A,1512,,,,
AT34,3,10,SA,14,Control,Control-A,2640,,,,
AT34,3,10,GF75,9,Control,Control-A,240,179353876,27240572,,
AT34,3,10,SB,0,Control,Control-B,0,520193862,60283956,,
AT34,3,10,SB,1,Control,Control-B,24,430727896,48425961,,
AT34,3,10,SB,2,Control,Control-B,48,426116248,31843753,,
AT34,3,10,SB,3,Control,Control-B,72,1978396867,266652686,,
AT34,3,10,SB,4,Control,Control-B,96,1649816968,130488037,,
AT34,3,10,SB,5,Control,Control-B,120,2545629535,209422748,,
AT34,3,10,SB,6,Control,Control-B,144,3868416925,477969475,,
AT34,3,10,SB,7,Control,Control-B,168,1667110647,105414237,,
AT34,3,10,SB,8,Control,Control-B,216,752620906,67804989,,
AT34,3,10,SB,9,Control,Control-B,240,555242384,45559719,,
AT34,3,10,SB,10,Control,Control-B,288,782135451,59105901,,
AT34,3,10,SB,11,Control,Control-B,312,1116018745,100755092,,
AT34,3,10,SB,12,Control,Control-B,1032,,,,
AT34,3,10,SB,13,Control,Control-B,1512,,,,
AT34,3,10,SB,14,Control,Control-B,2640,,,,
AT34,3,10,GF75,9,Control,Control-B,240,142779752,24375985,,
AT34,3,200,Niskin,0,,,0,285553226,22622471,,
AT34,3,200,GF75,0,,,0,124668527,13325779,,
AT34,3,200,DA,0,Control,Control-A,0,95461108,18868347,,
AT34,3,200,DA,1,Control,Control-A,24,89726773,15979673,,
AT34,3,200,DA,2,Control,Control-A,48,109194860,7784642,,
AT34,3,200,DA,3,Control,Control-A,72,108465954,15803895,,
AT34,3,200,DA,4,Control,Control-A,96,95773051,6764150,,
AT34,3,200,DA,5,Control,Control-A,120,139526765,12646223,,
AT34,3,200,DA,6,Control,Control-A,144,114879291,7836873,,
AT34,3,200,DA,7,Control,Control-A,168,179353876,13158446,,
